Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Pre-Lockdown	7289.8	13212.7	7812.5	5922.9	1.09	583
Lockdown	4148.1	13206.3	9843.8	9058.2	0.586	55
Lockdown	4424.1	13203.2	6937.5	8779.1	0.914	65
Pre-Lockdown	6200	13200	9082	7000	0.431	141
Pre-Lockdown	3980.7	13199.3	10312.5	9218.6	0.883	19
Pre-Lockdown	2823.5	13176.5	6000	10352.9	0.593	132
Pre-Lockdown	5411.8	13176.5	13125	7764.7	1.015	372
Pre-Lockdown	6889.5	13171.2	9375	6281.6	0.29	84
Pre-Lockdown	3444.8	13171.2	12000	9726.4	1.073	247
Pre-Lockdown	7142.5	13169	7812.5	6026.5	0.944	520
Lockdown	4976.1	13167.5	6562.5	8191.4	0.993	60
Lockdown	5749.2	13157.6	11812.5	7408.4	0.772	31
Pre-Lockdown	4629.6	13148.1	8203.1	8518.5	1.129	201
Pre-Lockdown	3196	13139.2	9765.6	9943.2	1.798	889
Pre-Lockdown	3906.2	13139.2	10742.2	9233	1.308	656
Pre-Lockdown	3722.6	13138.5	11437.5	9415.9	0.762	159
Lockdown	4441.6	13129.9	6937.5	8688.3	1.736	113
Lockdown	10291.3	13126.2	12093.8	2835	1.167	109
Pre-Lockdown	3913	13120.1	7324.2	9207.1	0.869	416
Lockdown	2996.9	13102.5	5812.5	10105.7	2.344	163
Lockdown	9361.2	13097.9	11437.5	3736.8	0.176	11
Pre-Lockdown	6060.6	13090.9	10500	7030.3	0.783	243
Pre-Lockdown	3636.4	13090.9	12375	9454.5	0.486	147
Pre-Lockdown	4769.2	13076.9	8062.5	8307.7	0.376	42
Lockdown	8531.6	13076.4	9375	4544.9	0.13	5
Lockdown	6751.4	13073.2	7125	6321.8	1.38	69
Pre-Lockdown	4242.6	13067.3	10500	8824.7	1.132	366
Pre-Lockdown	4850.7	13059.7	11718.8	8209	0.488	209
Lockdown	9053	13059.4	10968.8	4006.4	0.199	10
Pre-Lockdown	6045.3	13057.9	11250	7012.6	0.469	83
Lockdown	7210.5	13052.6	12187.5	5842.1	0.629	32
Pre-Lockdown	5170.3	13049	10253.9	7878.7	0.835	376
Lockdown	4912.8	13047	10781.2	8134.2	1.129	56
Lockdown	9694.6	13044.3	11906.2	3349.8	0.258	5
Pre-Lockdown	4782.6	13043.5	9960.9	8260.9	1.252	337
Lockdown	7871.4	13041.8	11718.8	5170.4	0.683	40
Pre-Lockdown	6237.8	13026.1	10500	6788.2	1.161	457
Pre-Lockdown	1276.6	13021.3	9000	11744.7	0.839	252
Lockdown	9281.6	13009.7	10406.2	3728.2	0.93	85
Pre-Lockdown	5635.8	13005.8	10253.9	7370	0.143	33
Lockdown	5900.2	12998.2	11343.8	7098	1.275	72
Lockdown	3109.6	12996.7	8531.2	9887	0.963	36
Lockdown	6408.8	12994.5	9468.8	6585.6	0.716	66
Pre-Lockdown	9811.1	12993.1	10875	3182	0.727	116
Lockdown	6257.7	12991.5	6562.5	6733.8	1.966	74
Pre-Lockdown	3636.5	12987.7	6750	9351.1	0.4	158
Pre-Lockdown	3183.7	12979.6	12375	9795.9	1.251	433
Pre-Lockdown	9674.3	12972.4	10253.9	3298.1	1.749	948
Lockdown	8854.4	12970.9	11437.5	4116.5	0.394	15
Pre-Lockdown	5043.9	12970	12695.3	7926.1	2.361	1038
Pre-Lockdown	7812.5	12961.6	10742.2	5149.1	1.097	251
Lockdown	5412.2	12953.8	10218.8	7541.6	1.348	140
Pre-Lockdown	4610.5	12948.6	9562.5	8338.1	0.897	184
Lockdown	8475.1	12943.8	10968.8	4468.7	0.257	12
Lockdown	8505.8	12938.4	9562.5	4432.6	0.255	8
Lockdown	5705	12926.5	6562.5	7221.5	1.642	106
Pre-Lockdown	3923.2	12923.6	5371.1	9000.4	1.869	933
Lockdown	10316.7	12923.1	12000	2606.3	0.238	2
Lockdown	3747.5	12916.9	7875	9169.4	1.434	69
Lockdown	3752.6	12907.2	9093.8	9154.6	0.917	81
Lockdown	8667.7	12905.3	11625	4237.6	0.227	12
Pre-Lockdown	5610.1	12903.2	9375	7293.1	0.849	174
Lockdown	8145.9	12897.6	11156.2	4751.8	2.317	143
Pre-Lockdown	1671.6	12895.5	11250	11223.9	0.549	215
Pre-Lockdown	8746.8	12890	8789.1	4143.2	0.811	395
Lockdown	4308.7	12885.9	10687.5	8577.2	1.479	101
Pre-Lockdown	6285.4	12885.1	9000	6599.7	0.868	80
Pre-Lockdown	6799.1	12869.7	7324.2	6070.6	0.864	429
Pre-Lockdown	8016.1	12868	8300.8	4851.9	1.466	503
Pre-Lockdown	8578.5	12867.8	12375	4289.3	0.328	48
Lockdown	10438.1	12857.5	11625	2419.4	0.305	13
Lockdown	3986.6	12845.6	10125	8859.1	0.996	63
Lockdown	7804.2	12839.2	8531.2	5035	0.486	35
Lockdown	6299	12837.2	8718.8	6538.2	1.603	150
Pre-Lockdown	4835.4	12832.5	10500	7997.1	1.029	418
Lockdown	6681.3	12828.1	11343.8	6146.8	0.808	66
Lockdown	11477.4	12827.7	12093.8	1350.3	0.555	26
Lockdown	5575.5	12823.8	6937.5	7248.2	0.543	44
Lockdown	11457	12814.5	12093.8	1357.5	0.159	3
Pre-Lockdown	8332.9	12804.1	9937.5	4471.2	1.083	225
Pre-Lockdown	3572.8	12802.4	7500	9229.6	2.415	402
Pre-Lockdown	4730.4	12800	10500	8069.6	1.652	682
Lockdown	7334.7	12799.8	7968.8	5465.1	0.655	51
Lockdown	8667.7	12789.7	10968.8	4122	0.24	6
Lockdown	5626.8	12784.7	8343.8	7157.9	1.054	103
Pre-Lockdown	4103.5	12784.1	10253.9	8680.6	1.703	842
Pre-Lockdown	3466.2	12781.6	12695.3	9315.4	3.083	1304
Pre-Lockdown	8799.6	12780.3	9937.5	3980.7	0.346	19
Lockdown	7547.5	12760.2	12281.2	5212.7	1.384	107
Pre-Lockdown	6816	12752.5	8789.1	5936.5	0.129	61
Lockdown	6791.7	12750	8437.5	5958.3	0.863	72
Lockdown	6565.6	12732	9093.8	6166.4	0.418	29
Lockdown	7098	12732	9000	5634	0.452	27
Lockdown	9010	12717.6	9562.5	3707.6	0.116	9
Lockdown	8860.4	12712.7	11343.8	3852.3	0.231	11
Pre-Lockdown	5882.4	12705.9	6000	6823.5	1.493	424
Pre-Lockdown	6257.3	12704.2	11250	6446.9	0.811	288
Pre-Lockdown	3461.7	12692.8	11230.5	9231.2	2.322	1250
Pre-Lockdown	3230.9	12692.8	4882.8	9461.9	2.083	906
Pre-Lockdown	5037.3	12686.6	11718.8	7649.3	1.151	488
Lockdown	3123.8	12685.7	4125	9561.9	1.239	114
Pre-Lockdown	8383	12676.8	10500	4293.8	1.459	263
Pre-Lockdown	4295	12675.5	10125	8380.5	0.971	80
Pre-Lockdown	3534	12663.5	4875	9129.5	1.058	423
Pre-Lockdown	2626.9	12656.7	7125	10029.9	0.439	112
Lockdown	3745	12644.3	7687.5	8899.3	1.03	54
Lockdown	9784.9	12635.6	12000	2850.7	0.212	11
Lockdown	4246.8	12623.4	10875	8376.6	0.984	21
Pre-Lockdown	4153.8	12615.4	6000	8461.6	0.635	126
Pre-Lockdown	6923.1	12615.4	9375	5692.3	1.249	262
Pre-Lockdown	4153.8	12615.4	6750	8461.6	0.921	212
Lockdown	6411.9	12614.7	6843.8	6202.8	0.9	88
Lockdown	8591.1	12610.8	11437.5	4019.7	0.681	29
Pre-Lockdown	7812.5	12606.5	7812.5	4794	0.444	178
Pre-Lockdown	5333.3	12606.1	7500	7272.7	1.78	623
Pre-Lockdown	7515.2	12606.1	12000	5090.9	1.356	315
Lockdown	3865.8	12604	7312.5	8738.3	1.58	98
Pre-Lockdown	6706.9	12600.9	10125	5894	0.342	56
Lockdown	9289	12598	9937.5	3309	0.074	2
Lockdown	9209.3	12598	11343.8	3388.7	0.263	5
Lockdown	8821.8	12597.1	11718.8	3775.3	0.164	4
Lockdown	6389.6	12584.4	6937.5	6194.8	1.057	38
Lockdown	5713.5	12583.4	6468.8	6869.8	0.684	64
Pre-Lockdown	5463.7	12583.1	7125	7119.4	0.511	170
Pre-Lockdown	3593	12575.6	6347.7	8982.6	1.381	665
Lockdown	5087.5	12573.5	6375	7485.9	0.974	71
Pre-Lockdown	6413	12547.2	8789.1	6134.2	0.897	498
Lockdown	6958.3	12541.7	9187.5	5583.3	0.442	28
Lockdown	7365.2	12520.8	12187.5	5155.6	0.637	62
Lockdown	9130	12520.1	11343.8	3390	0.199	6
Pre-Lockdown	4048.2	12516.4	8859.4	8468.2	1.795	37
Pre-Lockdown	3345.5	12509.1	6937.5	9163.6	0.849	106
Pre-Lockdown	3544.8	12500	8789.1	8955.2	1.373	508
Pre-Lockdown	3358.2	12500	10742.2	9141.8	1.663	666
Lockdown	8860.4	12481.5	12093.8	3621.2	0.22	12
Lockdown	7940.9	12465.8	12187.5	4525	1.22	96
Pre-Lockdown	4955.8	12460.2	8625	7504.4	0.476	84
Pre-Lockdown	3617.2	12459.4	12137.2	8842.2	1.454	318
Lockdown	6393.7	12447.3	11531.2	6053.6	1.011	70
Pre-Lockdown	6086.6	12437.9	11230.5	6351.3	0.181	76
Pre-Lockdown	6487.2	12433.8	9765.6	5946.6	0.495	236
Pre-Lockdown	5063.9	12429.6	7324.2	7365.7	1.521	299
Pre-Lockdown	3682.8	12429.6	10253.9	8746.8	0.728	226
Lockdown	3829.9	12414.3	4406.2	8584.3	1.049	93
Lockdown	5924	12405.6	7500	6481.6	1.172	108
Lockdown	5436.2	12405.6	11531.2	6969.4	0.894	42
Lockdown	9784.9	12404.5	11812.5	2619.6	0.229	12
Pre-Lockdown	8858.3	12401.6	11812.5	3543.3	0.262	42
Pre-Lockdown	6887.4	12397.3	8789.1	5509.9	0.68	382
Pre-Lockdown	1212.1	12363.6	7500	11151.5	1.347	577
Pre-Lockdown	5447.3	12361.3	7593.8	6913.9	3.215	231
Pre-Lockdown	7294.8	12360.6	11250	5065.8	0.99	359
Pre-Lockdown	3141.8	12357.6	9033.2	9215.8	0.339	161
Pre-Lockdown	5369.9	12350.8	7617.2	6980.9	0.793	201
Pre-Lockdown	5011.9	12350.8	9960.9	7338.9	0.998	150
Lockdown	6342.2	12335.9	6843.8	5993.7	0.761	80
Pre-Lockdown	4339.5	12333.3	7812.5	7993.8	0.966	416
Pre-Lockdown	3654.3	12333.3	9765.6	8679	0.961	404
Pre-Lockdown	2055.5	12333.3	12207	10277.8	0.617	316
Pre-Lockdown	6250	12331.1	8300.8	6081.1	0.631	348
Lockdown	3428.6	12318.9	6093.8	8890.4	0.925	17
Lockdown	8691	12318.9	10593.8	3627.9	0.296	9
Pre-Lockdown	4389.4	12318.6	8250	7929.2	1.795	329
Pre-Lockdown	3269.2	12307.7	12207	9038.5	0.722	341
Lockdown	3073.4	12293.6	8625	9220.2	0.742	42
Lockdown	9130	12288.9	11718.8	3158.9	0.196	9
Pre-Lockdown	4259.5	12287	6696.4	8027.5	0.987	232
Lockdown	4784.1	12279.1	6093.8	7495	1.312	82
Lockdown	6559.5	12270.1	8437.5	5710.6	0.407	20
Pre-Lockdown	5929.5	12267.9	7500	6338.4	0.827	363
Pre-Lockdown	3722.6	12262.6	7312.5	8540	0.666	118
Pre-Lockdown	7018.7	12256.5	9750	5237.8	0.668	74
Pre-Lockdown	2451.3	12256.5	9937.5	9805.2	0.729	62
Lockdown	10884.1	12244.6	11812.5	1360.5	0.305	12
Lockdown	8691	12239.2	10593.8	3548.2	0.351	12
Pre-Lockdown	8158.9	12238.4	8300.8	4079.5	1.197	682
Lockdown	5184.5	12235.4	7875	7050.9	1.218	125
Pre-Lockdown	8888.9	12222.2	10253.9	3333.3	0.414	122
Lockdown	7188	12219.6	9843.8	5031.6	0.55	26
Pre-Lockdown	4072.9	12218.8	7125	8145.9	0.927	267
Lockdown	8036.2	12217.2	11343.8	4181	0.867	66
Lockdown	4343.9	12217.2	4500	7873.3	1.39	134
Lockdown	6711.9	12203.4	11625	5491.5	0.576	36
Lockdown	6046.1	12202.8	9375	6156.7	0.949	108
Pre-Lockdown	7132.1	12199.7	9277.3	5067.6	0.837	406
Lockdown	5621.3	12199.3	11437.5	6578.1	0.441	14
Lockdown	3627.9	12199.3	11437.5	8571.4	0.301	12
Pre-Lockdown	3373	12194.6	7500	8821.6	0.973	187
Pre-Lockdown	7851.2	12190.1	9668	4338.9	0.281	73
Pre-Lockdown	6220.9	12182.6	11230.5	5961.7	1.111	382
Lockdown	8266.2	12179.7	9375	3913.5	0.387	30
Lockdown	8457.1	12179.6	8812.5	3722.4	0.073	0
Lockdown	10751.1	12162.9	11343.8	1411.8	0.172	5
Lockdown	4784.1	12159.5	7781.2	7375.4	0.544	32
Lockdown	5634	12155.3	9843.8	6521.3	0.436	15
Pre-Lockdown	4488.1	12155.2	10875	7667.1	0.195	47
Lockdown	3858.5	12154.3	11718.8	8295.8	2.057	146
Pre-Lockdown	8092	12137.9	9843.8	4046	0.245	8
Lockdown	4757.1	12128.6	8343.8	7371.4	0.663	47
Pre-Lockdown	2985.1	12126.9	8789.1	9141.8	0.493	210
Pre-Lockdown	3233.7	12126.5	10253.9	8892.7	0.122	27
Lockdown	5166.7	12125	8906.2	6958.3	0.747	35
Pre-Lockdown	5090.9	12121.2	8625	7030.3	0.8	309
Lockdown	4829.3	12107.3	7500	7278	1.058	61
Lockdown	6053.6	12107.3	6281.2	6053.6	1.002	79
Lockdown	6869.8	12107.3	8718.8	5237.4	0.824	63
Pre-Lockdown	5393.4	12088.6	7875	6695.2	0.588	183
Lockdown	4436.2	12066.5	6937.5	7630.3	0.431	24
Lockdown	3724.9	12063.5	4687.5	8338.6	1.045	82
Lockdown	9882.4	12054.3	11343.8	2171.9	0.238	13
Lockdown	4343.9	12054.3	6843.8	7710.4	1.033	85
Lockdown	3615	12050.1	6656.2	8435.1	1.351	74
Pre-Lockdown	5162.9	12046.7	8625	6883.8	0.305	94
Pre-Lockdown	2936.5	12039.6	7324.2	9103.1	0.729	323
Lockdown	5645.5	12039.2	6093.8	6393.7	0.721	77
Pre-Lockdown	3072	12032	5250	8960	0.135	65
Pre-Lockdown	5553.2	12031.9	8300.8	6478.7	0.435	242
Pre-Lockdown	7166.6	12004.1	9668	4837.5	0.408	121
Pre-Lockdown	6058.9	11999	6347.7	5940.1	0.348	197
Lockdown	5505.8	11987.4	6468.8	6481.6	2.107	248
Lockdown	8186.4	11980	9281.2	3793.7	0.311	11
Pre-Lockdown	7865.4	11969.2	10500	4103.7	0.917	370
Lockdown	5443.3	11958.8	9000	6515.5	0.535	31
Lockdown	3938.3	11958.2	8625	8019.8	1.47	109
Lockdown	6642.9	11957.1	10593.8	5314.3	0.21	10
Pre-Lockdown	5186.1	11950.5	10253.9	6764.4	0.505	270
Lockdown	5751.2	11944.7	7593.8	6193.5	0.746	78
Pre-Lockdown	5971.1	11942.2	7500	5971.1	4.206	314
Lockdown	3794.2	11934.6	6656.2	8140.4	0.74	66
Pre-Lockdown	3200	11927.3	9375	8727.3	0.804	101
Lockdown	4066.4	11920.3	8625	7853.8	0.963	45
Lockdown	2744.7	11916.2	6750	9171.5	1.324	66
Lockdown	4842.9	11914.3	9187.5	7071.4	1.692	106
Lockdown	5892.1	11907	7218.8	6014.9	0.841	92
Pre-Lockdown	6796.5	11893.8	7875	5097.3	0.907	156
Lockdown	4066.4	11880.4	7781.2	7814	0.528	38
Lockdown	7547.4	11860.2	9750	4312.8	0.351	10
Pre-Lockdown	6400.6	11859.9	9277.3	5459.3	1.442	698
Pre-Lockdown	5185.2	11851.9	9960.9	6666.7	1.048	105
Pre-Lockdown	4265.4	11848.3	11230.5	7582.9	2.069	756
Pre-Lockdown	8309.4	11845.3	9656.2	3535.9	0.543	12
Pre-Lockdown	4605.3	11842.1	10546.9	7236.8	0.77	194
Pre-Lockdown	2850.9	11842.1	11425.8	8991.2	1.548	409
Lockdown	9991	11837.1	11156.2	1846.2	0.113	7
Lockdown	5509.5	11835.2	6468.8	6325.7	0.843	98
Pre-Lockdown	4270	11824.7	9187.5	7554.6	0.888	127
Pre-Lockdown	7883.1	11824.7	10125	3941.6	0.115	4
Pre-Lockdown	3125	11805.6	11718.8	8680.6	0.376	127
Pre-Lockdown	7926.4	11787.9	9000	3861.5	0.097	13
Pre-Lockdown	5284.2	11787.9	10500	6503.7	0.486	86
Pre-Lockdown	4099.2	11785.1	7812.5	7685.9	0.825	450
Pre-Lockdown	3290.2	11775.5	8250	8485.3	0.128	41
Pre-Lockdown	3852.3	11770.8	9765.6	7918.5	0.083	33
Pre-Lockdown	4514.7	11770.6	7875	7255.8	1.08	475
Lockdown	9858.4	11759.7	11437.5	1901.3	0.583	30
Pre-Lockdown	6962.3	11748.9	9187.5	4786.6	0.205	41
Lockdown	4757.1	11742.9	7593.8	6985.7	0.804	24
Lockdown	6429.3	11740.4	8250	5311.1	0.407	18
Pre-Lockdown	3076.9	11730.8	11230.5	8653.8	1.032	487
Lockdown	8884.4	11730.2	10687.5	2845.8	0.503	13
Lockdown	4994.7	11724.9	9750	6730.2	0.412	19
Lockdown	6082.9	11723.5	7406.2	5640.6	0.524	46
Lockdown	5824.9	11723.5	10218.8	5898.6	0.673	67
Lockdown	4943.5	11720.9	11437.5	6777.4	1.113	75
Lockdown	7186.7	11711.6	10687.5	4525	0.373	36
Pre-Lockdown	1300.8	11707.3	5250	10406.5	2.384	806
Pre-Lockdown	3122	11707.3	6000	8585.4	0.897	278
Pre-Lockdown	2684	11694.8	11230.5	9010.7	1.295	716
Pre-Lockdown	3771.2	11690.8	8812.5	7919.6	0.305	30
Pre-Lockdown	8093.5	11690.6	8789.1	3597.1	0.239	74
Lockdown	6788.7	11660.6	10500	4871.9	0.666	29
Pre-Lockdown	4177.6	11653.2	8789.1	7475.6	0.725	380
Lockdown	6319.6	11645.1	11343.8	5325.5	0.964	90
Lockdown	4943.5	11641.2	7968.8	6697.7	0.981	47
Pre-Lockdown	7515.2	11636.4	7875	4121.2	1.087	331
Pre-Lockdown	6170.9	11629.7	11132.8	5458.9	0.707	59
Pre-Lockdown	6541.4	11624.3	7406.2	5082.9	0.185	7
Pre-Lockdown	5811.8	11623.7	9765.6	5811.8	0.59	319
Lockdown	7587.4	11620.6	8625	4033.3	0.275	15
Lockdown	4000	11619	9656.2	7619	0.749	57
Pre-Lockdown	4977.9	11615	6347.7	6637.2	1.056	497
Pre-Lockdown	6068.5	11609.2	10253.9	5540.7	1.12	214
Lockdown	3468.4	11601.3	7125	8132.9	1.657	144
Lockdown	6385.7	11591.3	6468.8	5205.7	0.627	52
Lockdown	5105.6	11577.4	7593.8	6471.8	1.011	16
Lockdown	5645.2	11569.3	7125	5924	0.576	50
Pre-Lockdown	5622.4	11548.7	9668	5926.3	0.065	15
Lockdown	3835.1	11546.4	6750	7711.3	0.788	73
Lockdown	8640.8	11544.1	10312.5	2903.3	0.9	56
Lockdown	7946.8	11540.8	9187.5	3594	1.45	139
Lockdown	5824.9	11539.2	10125	5714.3	0.704	73
Pre-Lockdown	6103.5	11528.9	8300.8	5425.4	0.642	226
Lockdown	8735.9	11528.5	10218.8	2792.6	0.543	41
Lockdown	8132.9	11521.6	9000	3388.7	0.113	2
Lockdown	6885.9	11516.8	8062.5	4630.9	0.476	23
Lockdown	4530.3	11505.5	8531.2	6975.2	2.088	23
Lockdown	3958.8	11505.2	6750	7546.4	0.939	91
Pre-Lockdown	3834.4	11503.1	10253.9	7668.7	0.385	215
Lockdown	5000	11500	8250	6500	0.825	68
Lockdown	8208.3	11500	9562.5	3291.7	0.467	26
Lockdown	5100	11485.7	10031.2	6385.7	1.051	31
Pre-Lockdown	5459.3	11483.4	8789.1	6024.1	0.19	80
Lockdown	7375.4	11481.7	9000	4106.3	0.224	12
Pre-Lockdown	4150.8	11475.8	6591.8	7325	0.8	387
Lockdown	6843.5	11475	8437.5	4631.5	0.834	72
Pre-Lockdown	5380.5	11469	7875	6088.5	1.595	183
Pre-Lockdown	4907.2	11450	9000	6542.8	0.385	60
Lockdown	4628.6	11442.9	7312.5	6814.3	2.811	219
Lockdown	5093.5	11438.8	8812.5	6345.3	0.736	51
Pre-Lockdown	5719.2	11438.5	9082	5719.2	0.883	211
Lockdown	4412.4	11422.7	5250	7010.3	0.903	73
Pre-Lockdown	3561.7	11418.5	10031.2	7856.7	0.898	86
Pre-Lockdown	6220.9	11404.9	7812.5	5184.1	0.797	272
Lockdown	4126.7	11402.7	8250	7276	1.821	58
Lockdown	5345.6	11391.7	6656.2	6046.1	0.965	102
Pre-Lockdown	4598.5	11386.7	8812.5	6788.2	2.03	261
Pre-Lockdown	8461.5	11384.6	10875	2923.1	0.604	98
Pre-Lockdown	6826.1	11376.9	10875	4550.8	0.759	256
Lockdown	3827.2	11362.1	7781.2	7534.9	0.9	48
Pre-Lockdown	3398.2	11327.4	7875	7929.2	1.712	310
Lockdown	5263.2	11315.8	10406.2	6052.6	0.397	28
Pre-Lockdown	5764.5	11315.4	8789.1	5550.9	0.32	158
Pre-Lockdown	6364	11313.7	7324.2	4949.7	1.744	753
Pre-Lockdown	7511.8	11267.6	11230.5	3755.8	0.259	121
Pre-Lockdown	6000	11250	10500	5250	0.193	66
Lockdown	2431.9	11242.5	5812.5	8810.6	1.138	31
Lockdown	8362	11239.8	10687.5	2877.8	0.371	30
Lockdown	4761.9	11238.1	5437.5	6476.2	0.693	36
Pre-Lockdown	4150.8	11231.7	8789.1	7080.9	1.088	549
Pre-Lockdown	3405.4	11231.7	5371.1	7826.3	0.746	343
Pre-Lockdown	4771.9	11228.1	5625	6456.2	1.107	175
Pre-Lockdown	3343.3	11223.9	8625	7880.6	0.259	70
Lockdown	7667.2	11221.3	10125	3554.1	0.559	25
Lockdown	2875	11208.3	9000	8333.3	0.908	69
Lockdown	5308.8	11207.4	5906.2	5898.6	0.777	57
Lockdown	3747.5	11202.7	4406.2	7455.1	0.433	25
Pre-Lockdown	5672.7	11200	6281.2	5527.3	1.331	38
Lockdown	4983.1	11186.4	6093.8	6203.4	0.993	43
Pre-Lockdown	7883.1	11167.7	10125	3284.6	0.124	14
Pre-Lockdown	8105.3	11144.8	8625	3039.5	0.918	318
Lockdown	7028.3	11141.4	8906.2	4113.1	0.337	8
Lockdown	4412.3	11132.7	9468.8	6720.3	2.238	41
Pre-Lockdown	3017	11125.1	6750	8108.1	0.49	59
Lockdown	3915.2	11119.1	7406.2	7203.9	1.324	94
Pre-Lockdown	4663.7	11104.1	7812.5	6440.4	0.881	348
Pre-Lockdown	3263.6	11096.1	8625	7832.5	0.69	133
Pre-Lockdown	8618.8	11093.9	9187.5	2475.1	0.355	15
Pre-Lockdown	4111.2	11090.6	6562.5	6979.4	1.69	107
Lockdown	6121.6	11087	7218.8	4965.3	0.974	95
Lockdown	6760.3	11081.4	9375	4321	3.221	260
Pre-Lockdown	4675.3	11064.9	8625	6389.6	1.093	114
Pre-Lockdown	4385.2	11050.6	10125	6665.4	0.215	84
Lockdown	8491.7	11043.2	9093.8	2551.5	0.108	6
Lockdown	7108.2	11021.6	8437.5	3913.5	0.232	8
Pre-Lockdown	5280.3	11019.8	10742.2	5739.5	1.495	714
Pre-Lockdown	3731.3	11007.5	10742.2	7276.2	0.814	317
Pre-Lockdown	10023	10988.5	10593.8	965.5	0.785	32
Pre-Lockdown	4883.3	10987.5	10986.3	6104.2	0.766	312
Lockdown	3023.9	10985.6	4500	7961.7	0.451	39
Lockdown	8442.9	10971.4	9750	2528.6	0.326	18
Lockdown	6125	10958.3	7125	4833.3	0.59	23
Pre-Lockdown	8484.8	10957.6	9890.6	2472.7	1.83	27
Pre-Lockdown	7664.1	10948.8	10125	3284.7	0.139	21
Pre-Lockdown	4597.7	10942.5	9656.2	6344.8	1.108	37
Lockdown	7667.2	10941.8	8250	3274.5	0.117	3
Pre-Lockdown	4769.2	10923.1	8625	6153.9	0.304	35
Pre-Lockdown	4121.2	10909.1	10875	6787.9	0.749	285
Pre-Lockdown	4955.8	10902.7	6562.5	5946.9	0.505	106
Lockdown	4371.4	10885.7	8531.2	6514.3	1.908	86
Pre-Lockdown	7585.8	10883.9	7812.5	3298.2	0.946	297
Pre-Lockdown	5902.8	10883.3	10500	4980.5	0.183	36
Lockdown	6189.7	10882.9	6937.5	4693.3	2.069	115
Pre-Lockdown	7397.4	10878.6	9000	3481.2	0.115	14
Pre-Lockdown	5984.1	10846.2	6750	4862.1	0.381	122
Lockdown	4585.7	10842.9	9750	6257.1	0.989	105
Lockdown	8456.4	10791.9	9000	2335.6	0.098	5
Lockdown	8577.2	10791.9	9281.2	2214.8	0.086	6
Pre-Lockdown	5318.5	10789	7324.2	5470.5	0.099	29
Pre-Lockdown	8633.4	10781.4	8765.6	2148	2.237	68
Lockdown	5593.2	10779.7	6937.5	5186.4	1.344	104
Lockdown	4242.6	10775	9937.5	6532.3	2.528	108
Pre-Lockdown	2642.1	10771.7	4687.5	8129.6	0.717	107
Pre-Lockdown	3230.8	10769.2	9562.5	7538.4	0.573	138
Pre-Lockdown	5238.9	10761.1	7875	5522.1	3.781	483
Pre-Lockdown	2816	10752	3375	7936	0.5	219
Lockdown	6000	10751.7	7406.2	4751.7	0.605	45
Lockdown	5990.8	10746.5	9375	4755.8	0.749	78
Lockdown	5266.2	10705	9187.5	5438.8	0.565	52
Pre-Lockdown	5920	10655.9	6937.5	4735.9	0.339	62
Pre-Lockdown	3680.4	10632.2	5062.5	6951.8	0.668	74
Pre-Lockdown	3823	10619.5	7687.5	6796.5	0.4	22
Pre-Lockdown	6230.1	10619.5	8062.5	4389.4	0.117	8
Pre-Lockdown	6571.4	10571.4	7500	4000	0.081	6
Pre-Lockdown	5866.7	10569.7	6468.8	4703	0.107	1
Lockdown	4041.2	10556.7	7687.5	6515.5	0.862	65
Pre-Lockdown	5864.6	10556.3	9277.3	4691.7	2.83	1018
Lockdown	4750	10541.7	9468.8	5791.7	0.941	93
Pre-Lockdown	6035.1	10526.3	7687.5	4491.2	0.697	150
Pre-Lockdown	8530.4	10519.3	8953.1	1989	2.003	90
Pre-Lockdown	7972.5	10492.3	8578.1	2519.8	1.201	32
Pre-Lockdown	5522.1	10477.9	8812.5	4955.8	0.507	51
Pre-Lockdown	8795.6	10475.1	9468.8	1679.6	1.374	74
Pre-Lockdown	8486.2	10475.1	9187.5	1989	1.27	53
Pre-Lockdown	8678.8	10472.7	9093.8	1793.9	0.851	17
Lockdown	8899.3	10469.8	9281.2	1570.5	0.106	8
Pre-Lockdown	6826.1	10428.8	9000	3602.7	1.735	679
Pre-Lockdown	8533.3	10424.2	9281.2	1890.9	1.844	43
Lockdown	4631.6	10421.1	7500	5789.5	1.126	103
Pre-Lockdown	2081.3	10406.5	6375	8325.2	0.514	106
Pre-Lockdown	3923.8	10398.1	8437.5	6474.3	0.966	155
Pre-Lockdown	6761.2	10389.2	7812.5	3628	0.381	198
Lockdown	8301.2	10376.5	9656.2	2075.3	0.781	64
Pre-Lockdown	8242.4	10375.8	8859.4	2133.3	1.394	31
Pre-Lockdown	6593.9	10375.8	10125	3781.8	0.159	3
Lockdown	3508.3	10365.4	5062.5	6857.1	0.265	8
Lockdown	6177.4	10342	6281.2	4164.6	0.571	65
Pre-Lockdown	7911.6	10298.3	7968.8	2386.7	0.496	19
Pre-Lockdown	8193.9	10230.3	9328.1	2036.4	0.935	5
Pre-Lockdown	7515.2	10230.3	9609.4	2715.2	1.036	27
Pre-Lockdown	7397.4	10225.9	9000	2828.5	0.7	119
Pre-Lockdown	7028.5	10223.2	8789.1	3194.7	0.903	407
Pre-Lockdown	5109.7	10219.4	9937.5	5109.7	2.36	254
Pre-Lockdown	6296.5	10216.9	8300.8	3920.5	0.269	103
