Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Pre-Lockdown	3503.6	18831.9	8437.5	15328.3	2.205	132
Lockdown	7809.5	18819	8718.8	11009.5	1.136	116
Lockdown	6069	18798	12843.8	12729.1	0.932	73
Lockdown	6900	18771.4	14625	11871.4	1.598	139
Lockdown	7678.3	18755.2	10312.5	11076.9	1.054	24
Pre-Lockdown	4326.9	18750	6738.3	14423.1	0.992	155
Pre-Lockdown	4594.5	18740.6	5625	14146.1	1.937	121
Lockdown	4823.9	18737.5	9562.5	13913.6	1.001	98
Lockdown	6185.6	18721.6	10031.2	12536.1	0.873	64
Lockdown	13342.7	18713.3	18562.5	5370.6	0.587	56
Lockdown	11874.1	18713.3	15281.2	6839.2	0.841	86
Pre-Lockdown	10373.9	18704.5	17578.1	8330.6	2.904	610
Pre-Lockdown	3455.1	18698.1	7125	15243	0.931	115
Lockdown	5491.5	18671.2	7500	13179.7	1.336	131
Pre-Lockdown	5770	18667.6	12750	12897.6	0.805	270
Pre-Lockdown	8671.8	18649	9937.5	9977.2	0.555	104
Pre-Lockdown	7365.7	18644.4	8789.1	11278.7	0.24	114
Lockdown	13933	18621.4	18187.5	4688.4	0.609	33
Lockdown	6935.2	18620	9843.8	11684.8	0.885	102
Pre-Lockdown	5076.9	18615.4	9187.5	13538.5	1.069	162
Pre-Lockdown	4160.5	18612.9	6187.5	14452.4	0.949	103
Pre-Lockdown	3065.7	18612.9	10125	15547.2	3.205	159
Pre-Lockdown	4408.2	18612.2	12375	14204.1	0.995	437
Lockdown	3835.1	18597.9	6937.5	14762.9	1.667	117
Lockdown	10951	18587.4	16312.5	7636.4	0.955	49
Lockdown	6472.9	18577.9	9281.2	12105.1	1.009	113
Lockdown	8978.4	18569	13125	9590.6	1.058	107
Lockdown	6955.9	18549.2	9656.2	11593.2	0.914	40
Lockdown	5898.3	18508.5	7125	12610.2	1.034	115
Lockdown	5328.7	18503.5	7593.8	13174.8	0.885	36
Pre-Lockdown	5912.3	18503.4	7500	12591.1	4.376	430
Pre-Lockdown	3861.6	18494.9	9937.5	14633.3	1.432	280
Pre-Lockdown	4951.7	18486.4	5231.6	13534.7	0.665	291
